Brand,Model,Variant,Year,Km_Driven,Fuel,Seller_Type,Transmission,Owner,Selling_Price
20,269,423,2009,120000,1,1,1,4,500000
19,252,638,2014,166000,1,1,1,1,125000
12,456,152,2006,110000,4,1,1,4,130000
8,145,216,2017,35000,1,1,1,0,925000
12,94,133,2018,60000,1,1,1,0,750000
9,117,341,2007,54000,4,1,0,2,200000
10,604,41,2010,63000,4,1,1,2,248000
18,364,253,2014,120000,1,1,1,2,450000
10,220,617,2005,120000,4,1,1,4,80000
15,488,715,2014,76000,4,1,1,2,650000
10,228,688,2015,80000,1,1,1,0,450000
10,156,607,2019,25000,1,1,1,0,650000
9,28,731,2016,11958,4,0,1,0,495000
9,77,654,2015,20000,4,0,1,0,371000
10,126,315,2017,9000,4,0,1,0,1025000
11,571,460,2015,70000,1,1,1,0,750000
17,130,533,2013,120000,1,1,1,0,600000
10,407,717,2007,58000,4,0,1,2,80000
11,66,449,2013,62200,1,0,1,0,325000
6,49,606,2015,53000,1,1,1,2,350000
5,366,25,2017,15000,4,0,1,2,210000
21,277,191,2013,50000,4,1,1,0,450000
1,8,382,2013,53000,1,0,0,0,1150000
9,117,341,2009,63500,4,0,0,0,210000
12,386,568,2008,29173,4,0,1,0,175000
11,68,679,2017,120000,1,1,1,0,628000
10,437,650,2010,100000,1,1,1,0,600000
15,309,664,2017,30000,4,1,1,0,399000
11,574,582,2018,87000,1,1,1,0,750000
10,163,569,2019,15000,4,1,1,0,750000
17,279,671,2017,16000,4,1,1,0,315000
11,580,630,2012,60000,1,1,1,0,600000
12,547,657,2010,60000,4,1,1,1,100000
12,385,569,2011,110000,4,1,1,4,250000
17,279,671,2017,25000,4,1,1,0,350000
10,126,168,2016,60000,1,1,1,0,780000
12,459,702,2014,79350,1,1,1,2,434000
10,517,323,2016,80000,4,1,0,0,690000
11,423,569,2014,90000,1,1,1,2,555000
12,382,568,2007,90000,4,1,1,2,120000
12,170,702,2014,120000,1,1,1,2,500000
3,62,596,2013,60000,1,1,1,2,165000
12,586,642,2004,50000,4,1,1,0,95000
12,58,41,2018,20000,4,1,1,0,550000
12,480,568,2007,110000,1,1,1,1,100000
19,320,569,2012,50000,4,1,1,2,100000
20,269,418,2012,100000,1,1,1,0,500000
12,173,702,2016,70000,1,1,1,2,800000
10,126,289,2016,70000,1,1,1,2,840000
9,28,732,2016,50000,4,1,1,0,490000
19,248,190,2010,81000,1,1,1,2,125000
3,487,376,2012,120000,1,1,1,4,400000
3,128,641,2015,3600,1,0,1,0,1000000
8,197,106,2015,14272,4,0,1,0,530000
8,145,217,2017,49213,1,0,1,0,840000
10,604,40,2015,40000,4,1,1,0,229999
3,439,15,2012,80000,4,1,1,0,130000
10,139,665,2015,70000,4,1,1,0,200000
19,249,568,2011,70000,1,1,1,0,120000
10,401,735,2003,57000,4,1,1,0,75000
19,72,712,2016,120000,1,1,1,0,250000
12,5,548,2005,30000,4,1,1,0,100000
10,139,665,2013,3240,4,1,1,2,280000
10,612,41,2015,5000,4,1,1,0,540000
10,605,47,2018,10000,4,1,1,0,700000
12,98,665,2015,100000,1,1,1,0,525000
10,609,162,2016,80000,1,1,1,0,430000
10,397,636,2002,70000,4,1,1,0,65000
12,530,703,2018,35000,1,1,1,0,800000
10,418,630,2007,114000,4,1,1,2,75000
10,220,139,2008,53772,4,1,1,0,210000
11,363,572,2012,140000,1,1,1,2,195000
3,487,469,2015,120000,1,1,1,0,400000
10,143,665,2012,60000,4,1,1,0,170000
17,279,671,2016,25000,4,1,1,0,225000
12,543,637,2014,90000,3,1,1,0,210000
12,539,643,2020,120000,4,1,1,0,240000
3,439,15,2011,100000,4,1,1,4,99000
9,113,682,2014,36000,4,1,1,0,620000
9,35,729,2013,30000,1,1,1,0,500000
9,75,654,2013,70000,4,1,1,2,260000
12,476,726,2017,60000,4,1,1,0,550000
19,257,574,2011,155500,1,1,1,0,150000
10,601,554,2011,50000,4,1,0,2,350000
3,62,640,2016,40000,4,1,1,0,320000
12,474,569,2015,100000,1,1,1,4,400000
12,16,644,2012,80000,4,1,1,4,175000
3,62,640,2011,90000,4,1,1,2,120000
17,130,370,2013,90000,1,1,1,2,320000
10,407,713,2006,110000,4,1,1,4,70000
12,468,665,2019,15000,4,1,1,0,810000
12,5,546,2007,100000,4,1,1,2,95000
12,19,573,2020,40000,0,1,1,0,282000
12,5,690,2004,60000,4,1,1,2,80000
19,319,676,2013,25000,4,1,1,0,72000
10,612,41,2016,25000,4,1,1,0,600000
18,364,308,2015,23000,4,1,1,0,640000
12,18,708,2018,22155,4,1,1,0,380000
12,94,171,2018,70000,4,1,1,0,650000
12,16,642,2009,60000,4,1,1,2,150000
10,605,562,2009,110000,4,1,1,2,280000
19,327,86,2018,30000,4,1,1,0,430000
11,68,679,2019,15000,1,1,1,0,800000
12,586,580,2003,100000,1,1,1,2,75000
21,504,256,2016,70000,1,1,0,0,650000
12,148,509,2017,24000,4,1,1,0,390000
9,106,222,2005,120000,4,1,1,2,100000
12,387,568,2007,78380,4,1,1,0,175000
17,130,370,2012,110000,1,1,1,2,434999
8,199,696,2010,90000,1,1,1,4,170000
8,199,696,2011,90000,1,1,1,4,190000
12,459,703,2009,150000,1,1,1,4,250000
12,182,568,2006,70000,4,1,1,4,140000
12,474,569,2017,80362,1,1,1,0,600000
10,605,103,2012,110000,4,1,1,4,280000
3,63,640,2012,60000,1,1,1,0,150000
3,129,554,2015,50000,1,1,0,0,650000
15,307,715,2014,40000,4,1,1,2,210000
3,167,149,2013,20000,1,0,1,0,425000
10,140,659,2014,55000,4,0,1,0,265000
6,293,606,2018,1136,4,0,1,0,890000
17,420,672,2013,55000,4,0,1,0,365000
8,201,696,2014,43000,4,0,1,0,350000
12,102,677,2016,60000,1,1,1,0,685000
18,364,250,2018,2650,1,0,1,0,940000
11,569,460,2017,40000,1,1,1,0,1000000
11,562,659,2019,15000,4,0,1,0,1150000
12,173,722,2016,115962,1,1,1,2,450000
15,489,580,2015,65000,1,0,1,0,590000
12,373,612,2017,40000,1,1,1,0,800000
10,612,163,2012,58000,1,0,1,0,385000
10,139,665,2012,54000,4,0,1,0,235000
21,40,254,2017,56000,1,0,1,0,640000
12,16,642,2006,120000,4,1,1,4,52000
12,336,631,2009,90000,3,1,1,2,80000
12,16,642,2012,70000,4,1,1,2,140000
10,529,5,2008,90000,4,1,1,2,120000
3,342,380,2012,120000,1,1,1,0,180000
10,606,98,2017,10000,4,1,1,0,700000
12,380,596,2012,80000,1,1,1,2,285000
10,224,655,2015,90000,4,1,1,0,390000
12,24,568,2008,80000,4,1,1,0,125000
12,387,568,2008,60000,4,1,1,2,225000
10,600,607,2011,139000,4,1,1,2,175000
20,269,422,2011,160000,1,1,1,2,1075000
9,315,591,2014,150000,1,1,1,0,300000
20,269,409,2010,163000,1,1,1,1,700000
19,246,447,2009,120000,1,0,1,0,90000
19,253,638,2011,120000,1,1,1,2,120000
3,63,638,2012,100000,1,1,1,2,220000
19,598,129,2015,140000,1,0,1,0,300000
18,190,121,2010,87000,1,0,1,2,180000
12,5,689,2013,70000,4,1,1,0,170000
8,201,696,2015,50000,4,1,1,2,300000
20,269,426,2014,70000,1,1,1,0,1050000
10,224,52,2018,25000,1,1,1,0,465000
3,63,640,2011,80000,1,1,1,2,130000
5,217,664,2018,10000,4,1,1,0,434999
10,224,63,2018,32000,4,1,1,0,500000
12,338,569,2018,10000,4,1,1,0,200000
12,57,41,2017,52000,4,0,1,0,625000
8,192,186,2006,120000,1,1,1,4,110000
10,154,569,2019,11240,4,1,1,0,800000
10,228,655,2017,66000,1,0,1,0,490000
12,173,722,2017,64000,1,0,1,0,880000
10,408,665,2013,49000,4,1,1,0,290000
19,441,511,2006,100000,1,1,1,2,115999
17,279,671,2018,26500,4,1,1,0,360000
12,5,546,2002,100000,4,1,1,2,65000
12,531,659,2017,72000,1,0,1,0,685000
9,271,674,2009,50000,4,1,1,0,300000
10,605,188,2017,44000,1,0,1,0,680000
12,175,665,2017,60000,1,1,1,2,1000000
19,444,568,2002,120000,1,1,1,0,100000
11,574,599,2010,130000,1,1,1,0,160000
12,482,569,2017,70000,1,1,1,0,450000
12,170,708,2014,20000,4,1,1,0,600000
10,605,182,2009,60000,1,1,1,2,180000
12,16,644,2010,90000,4,1,1,2,120000
10,220,615,2006,80000,4,1,1,4,130000
12,546,632,2011,155000,4,1,1,0,160000
11,68,679,2019,35000,1,1,1,0,860000
10,605,104,2018,20000,4,1,1,2,650000
12,547,657,2010,80000,4,1,1,2,100000
12,16,529,2017,20000,4,1,1,0,282000
10,609,6,2009,50000,4,1,1,0,300000
10,605,562,2010,110000,4,1,1,2,270000
10,517,314,2013,29000,1,1,1,0,550000
11,575,569,2013,120000,1,1,1,0,450000
11,71,465,2011,70000,1,1,1,2,430000
12,177,545,2013,40000,4,1,1,0,350000
9,74,60,2017,20000,4,1,1,0,350000
20,187,613,2013,50000,4,1,1,2,229999
12,16,523,2013,50000,4,1,1,0,110000
12,459,116,2012,49000,4,1,1,2,395000
11,433,399,2011,70000,1,1,0,2,650000
11,66,679,2011,90000,1,1,1,2,350000
19,497,89,2018,4000,4,1,1,0,360000
17,130,369,2015,15000,1,1,1,0,800000
10,143,665,2018,30000,4,1,1,0,229999
12,539,708,2014,41000,4,0,1,0,315000
3,439,16,2012,28000,4,1,1,0,125000
12,56,560,2019,16000,4,1,1,0,700000
10,136,14,2015,70000,4,1,1,0,160000
8,197,107,2017,10832,4,0,1,0,530000
8,197,612,2018,14681,1,0,1,0,624000
10,600,607,2009,50000,4,1,1,0,250000
11,66,679,2016,51000,1,0,1,0,585000
10,517,193,2015,25000,4,1,1,0,500000
3,391,76,2014,30000,4,1,1,0,350000
9,114,682,2014,80000,1,0,1,0,495000
10,224,63,2017,50000,4,1,1,0,500000
10,224,73,2013,44000,4,0,1,0,345000
12,60,41,2015,10000,4,1,1,0,500000
19,497,89,2019,19600,4,1,1,0,425000
12,539,643,2005,40000,4,1,1,2,80000
3,63,638,2011,50000,1,1,1,0,106000
12,6,710,2009,46730,4,1,1,0,180000
5,212,544,2015,40000,4,1,1,2,250000
18,585,487,2011,80000,1,1,1,0,350000
12,595,567,2002,80000,4,1,1,2,60000
10,518,298,2018,24000,1,1,1,0,900000
8,44,569,2017,21170,1,0,1,0,700000
12,175,665,2017,40000,1,1,1,0,1000000
3,487,467,2007,120000,1,1,1,4,160000
14,343,402,2012,140000,4,1,0,0,525000
12,57,128,2019,30000,1,1,1,0,800000
8,197,241,2017,88635,1,0,1,0,700000
12,459,702,2018,25000,1,1,1,0,800000
10,605,104,2017,20000,4,1,1,2,575000
17,130,370,2012,110000,1,1,1,2,350000
12,480,568,2008,120000,1,1,1,4,250000
8,166,490,2011,149674,1,0,1,2,600000
11,422,439,2007,100000,1,1,1,4,370000
12,56,710,2006,120000,4,1,1,4,80000
19,244,590,2003,120000,1,1,1,2,50000
10,518,298,2018,25000,1,1,1,0,900000
12,554,632,2014,35000,4,1,1,2,300000
19,244,639,2002,40000,4,1,1,0,125000
12,459,702,2015,60000,1,1,1,2,490000
20,187,614,2012,50000,1,1,1,2,300000
19,316,681,2013,25000,4,1,1,1,55000
10,224,688,2016,25000,4,1,1,0,350000
10,224,52,2019,8000,1,1,1,0,755000
12,173,702,2017,60000,1,1,1,0,720000
11,428,373,2018,20000,1,1,1,0,1100000
21,354,120,2013,100000,4,1,1,0,400000
10,572,34,2015,70000,1,1,1,2,350000
3,63,663,2012,68000,1,0,1,0,159000
12,484,569,2017,38000,4,0,1,0,550000
12,371,703,2013,80000,1,0,1,0,335000
19,258,618,2014,72000,0,0,1,0,185000
12,148,499,2012,75000,0,0,1,0,229999
12,183,643,2014,43000,4,0,1,0,225000
12,478,545,2007,120000,4,1,1,2,250000
19,598,153,2015,100000,1,1,1,0,400000
12,474,569,2014,163000,1,1,1,0,470000
12,22,661,2018,25000,4,1,0,0,300000
12,16,642,2011,25000,4,1,1,0,145000
12,382,568,2007,90000,4,1,1,2,100000
11,429,569,2014,70000,1,1,1,2,500000
10,411,573,2010,98000,0,1,1,2,130000
3,128,641,2010,81925,1,1,1,0,240000
8,200,604,2013,80000,1,1,1,2,150000
17,282,661,2017,40000,4,1,1,0,270000
12,459,702,2014,90000,1,1,1,0,400000
10,139,665,2012,46000,4,1,1,0,200000
11,569,460,2012,80000,1,1,1,0,550000
17,279,24,2018,35000,4,1,1,0,325000
18,364,248,2017,82080,1,1,0,0,860000
3,439,7,2009,70000,4,1,1,0,125000
3,487,467,2010,120000,1,1,1,4,300000
8,191,328,2007,60000,4,1,1,4,190000
12,170,702,2013,110000,1,1,1,0,400000
19,300,632,2011,97000,1,1,1,2,260000
12,476,708,2017,30000,4,1,1,0,400000
10,614,664,2010,40000,4,1,1,0,250000
10,224,63,2019,10000,4,1,1,0,600000
12,593,569,2010,52047,4,1,1,0,175000
19,497,93,2019,15000,4,1,0,2,350000
12,530,723,2018,50000,1,1,1,0,800000
12,477,568,2011,70000,4,1,1,2,250000
12,477,569,2019,10000,4,1,1,0,600000
12,474,569,2017,90000,1,1,1,0,600000
12,16,523,2016,40000,4,1,1,0,130000
12,539,643,2006,62009,4,1,1,2,90000
10,606,94,2017,33100,4,1,1,2,595000
10,139,665,2014,40000,4,1,1,2,190000
12,547,657,2007,80000,4,1,1,0,95000
19,389,706,2016,70000,1,1,1,0,1000000
11,66,679,2010,50000,1,1,1,0,400000
5,213,544,2015,45000,4,1,1,2,315000
20,204,497,2014,110000,1,1,1,0,1000000
8,146,209,2014,49000,1,1,1,0,500000
11,455,516,2017,160000,1,1,1,0,500000
12,5,546,2007,60000,4,1,1,2,105000
8,164,432,2008,110000,1,1,1,4,400000
12,539,643,2004,60000,4,1,1,4,80000
12,16,529,2016,30000,4,1,1,0,300000
11,278,357,2017,40000,1,1,1,0,409999
12,456,621,2009,70000,4,1,1,0,250000
19,325,393,2010,120000,1,1,1,2,250000
12,459,702,2012,80000,1,1,1,4,215000
9,74,114,2018,20000,4,1,1,0,475000
9,74,114,2018,22000,4,1,1,0,475000
3,439,15,2008,35000,4,1,1,2,75000
3,393,545,2013,120000,1,1,1,2,200000
19,498,664,2019,8000,4,1,1,0,575000
12,371,703,2011,40000,1,1,1,2,150000
12,533,665,2018,10000,1,1,1,0,850000
10,397,607,2019,30000,4,1,1,0,350000
8,164,432,2011,54000,1,1,1,2,550000
10,517,193,2017,80577,4,1,1,0,330000
9,114,700,2017,25000,1,1,1,0,1044999
10,517,285,2011,127500,1,1,1,2,300000
10,138,665,2015,40903,4,0,1,0,235000
8,201,696,2011,60000,4,1,1,4,120000
12,539,708,2004,46000,4,1,1,0,130000
8,164,498,2004,22288,1,0,1,2,275000
21,349,254,2015,30000,1,1,1,2,500000
10,224,688,2015,61690,4,0,1,0,400000
10,609,41,2015,64484,4,0,1,0,600000
17,130,531,2013,75976,1,0,1,2,400000
8,199,696,2011,70000,1,1,1,2,220000
9,75,654,2012,85962,4,0,1,2,300000
12,335,632,2018,120000,4,1,1,0,250000
9,315,591,2015,120000,1,1,1,0,600000
9,78,554,2012,75000,4,1,0,2,285000
9,14,404,2009,57035,4,0,1,0,350000
11,66,679,2011,70000,1,1,1,4,170000
8,196,123,2015,45000,4,1,1,0,229999
11,569,460,2013,72104,1,0,1,2,500000
19,316,648,2011,15000,4,1,1,0,75000
10,606,98,2016,30000,4,1,1,0,600000
19,267,595,2011,80000,1,1,1,0,220000
19,254,190,2009,164000,1,1,1,2,150000
12,16,642,2006,124439,4,1,1,2,65000
12,586,708,2006,77000,4,1,1,2,120000
12,459,702,2014,90000,1,1,1,0,240000
17,279,24,2017,30000,4,1,1,0,390000
3,62,638,2012,50000,4,1,1,0,180000
12,456,702,2012,80000,1,1,1,2,320000
12,16,523,2018,5000,4,1,1,0,310000
12,540,708,2018,24000,4,1,0,0,420000
19,498,664,2019,10000,4,1,1,0,550000
12,173,702,2016,78000,1,1,1,4,550000
11,485,478,2018,50000,1,1,1,0,760000
12,5,547,2001,100000,4,1,1,2,43000
12,338,569,2018,20000,4,1,1,0,250000
10,403,569,2019,1250,4,1,1,0,500000
19,599,117,2015,17152,4,1,1,0,380000
21,352,120,2012,77000,1,1,1,0,350000
10,517,576,2008,90000,1,1,1,2,195000
3,62,638,2011,80000,4,1,1,2,225000
20,269,408,2015,65000,1,1,1,0,1125000
19,252,642,2011,80000,1,1,1,0,133000
10,139,665,2013,24005,4,1,1,0,200000
12,533,665,2018,20000,1,1,1,0,940000
17,130,532,2014,120000,1,1,1,0,400000
10,602,33,2009,120000,4,1,1,2,120000
12,459,722,2015,80000,1,1,1,0,625000
12,456,152,2005,80000,4,1,1,0,110000
17,130,370,2012,100000,1,1,1,0,490000
12,16,642,2009,120000,4,1,1,2,140000
8,199,726,2011,149000,1,1,1,2,175000
12,547,568,2005,65000,4,1,1,2,90000
12,472,569,2009,100000,1,1,1,2,275000
21,505,626,2011,65000,1,1,1,2,300000
5,217,569,2018,19000,4,1,1,2,270000
3,62,640,2010,80000,4,1,1,2,130000
12,21,558,2015,30000,4,1,1,0,275000
12,456,702,2012,109000,1,1,1,0,352000
10,142,665,2012,90000,3,1,1,0,180000
12,16,642,2012,90000,4,1,1,0,150000
12,480,568,2010,110000,1,1,1,2,300000
11,67,508,2007,120000,1,1,1,0,225000
9,315,591,2014,44000,1,1,1,0,600000
12,171,726,2015,80000,4,1,1,0,500000
9,53,654,2018,5000,4,1,1,0,900000
10,612,41,2016,61000,4,1,1,0,600000
20,184,701,2011,100000,1,1,1,2,450000
10,602,33,2009,27633,4,1,1,0,270000
12,480,568,2010,100000,1,1,1,4,310000
10,412,637,2012,100000,3,1,1,0,250000
8,196,124,2019,12586,4,0,1,0,700000
6,50,144,2018,38083,1,0,1,0,650000
8,199,726,2012,55328,1,0,1,0,400000
8,199,696,2012,81632,1,0,1,0,425000
8,44,569,2016,155201,1,0,1,0,600000
8,145,242,2013,93283,1,0,1,0,600000
8,192,173,2012,90165,1,0,1,0,450000
8,146,209,2014,101504,1,0,1,0,750000
8,202,569,2010,86017,1,0,1,2,325000
11,571,460,2013,85036,1,0,1,2,900000
8,243,156,2006,91086,4,0,1,2,180000
6,359,137,2013,160254,1,0,1,2,350000
8,145,242,2013,125531,1,0,1,2,600000
9,537,700,2019,60000,1,1,1,0,900000
18,288,347,2006,100000,1,1,1,0,350000
12,371,635,2013,90000,1,1,1,4,280000
11,574,581,2009,120000,1,1,1,2,225000
9,111,674,2014,82000,1,1,1,0,520000
11,422,354,2016,60000,1,1,1,0,509999
12,57,41,2019,24000,4,1,1,0,556000
19,266,595,2014,120000,1,1,1,0,225000
9,27,730,2013,65000,1,0,1,0,325000
12,456,702,2013,65000,1,0,1,0,365000
10,126,291,2015,84000,1,0,1,0,850000
20,186,680,2013,75000,1,0,1,0,350000
12,456,702,2007,50000,1,0,1,0,225000
12,16,642,2011,50000,4,1,1,0,135000
12,547,657,2007,49000,4,0,1,0,140000
17,279,671,2015,14365,4,0,1,0,275000
10,517,311,2013,65000,1,0,1,0,484999
12,99,677,2015,65000,1,0,1,0,565000
12,459,702,2013,61083,1,0,1,0,425000
20,269,426,2013,75000,1,1,1,0,925000
11,434,463,2012,72000,1,0,1,0,565000
17,130,369,2014,65000,1,0,1,0,525000
10,139,665,2015,21000,4,0,1,2,295000
10,527,284,2017,10000,4,1,0,0,1100000
12,483,569,2016,7104,4,2,1,0,670000
12,377,445,2015,45974,1,2,1,0,750000
10,517,325,2015,55340,4,2,1,0,760000
21,349,620,2017,20000,4,0,0,2,850000
17,357,672,2015,61585,1,2,1,0,390000
12,88,569,2016,39415,4,2,0,2,450000
9,79,654,2014,29654,4,2,1,0,425000
12,57,128,2016,64672,1,2,1,0,770000
10,126,313,2015,54634,1,2,0,2,1150000
9,113,700,2015,66521,4,2,1,0,775000
17,130,532,2013,1000,1,0,1,2,450000
10,126,289,2016,52600,1,1,1,0,535000
12,382,569,2012,110000,4,1,1,2,225000
10,224,66,2017,19890,4,0,0,0,550000
12,170,708,2015,11918,4,2,1,0,625000
10,230,554,2017,10510,4,0,0,0,520000
3,65,659,2016,41000,4,0,1,0,239000
10,600,655,2012,49824,4,0,1,0,229999
10,397,619,2005,56580,4,0,1,0,80000
18,286,385,2012,52000,1,0,1,0,385000
12,459,702,2017,46507,1,2,1,0,600000
10,614,41,2013,50000,4,1,1,2,350000
12,16,523,2014,30000,4,1,1,0,114999
10,614,41,2013,50000,4,1,1,2,380000
11,422,355,2016,35000,1,1,1,0,900000
3,62,640,2012,90000,4,1,1,2,200999
12,335,632,2014,11451,4,1,1,0,229999
19,327,233,2019,60000,1,1,1,0,800000
12,456,702,2018,60000,1,1,1,0,600000
3,486,510,2005,150000,1,1,1,0,150000
3,342,379,2009,66000,1,1,1,0,150000
12,148,502,2019,5000,4,1,1,0,380000
12,456,152,2006,66508,4,1,1,2,80000
9,117,334,2007,55000,4,1,1,2,225000
19,320,569,2012,29900,4,1,1,0,75000
19,252,706,2012,85000,1,1,1,0,185000
11,422,434,2011,50000,1,1,1,0,425000
19,248,190,2010,120000,1,1,1,2,100000
12,590,568,2008,90000,4,1,1,4,140000
12,461,632,2017,8000,4,1,0,0,710000
9,29,732,2015,7900,4,1,0,0,450000
5,369,659,2017,50000,4,1,1,0,210000
12,18,708,2016,25000,4,1,1,0,270000
12,16,644,2009,20000,4,1,1,0,110000
12,456,708,2018,17500,4,1,1,0,540000
11,370,179,2008,25000,4,1,1,0,145000
10,603,637,2013,88600,3,1,1,0,250000
19,512,602,2012,80000,1,1,1,0,110000
3,82,640,2008,100000,1,1,1,1,250000
3,48,74,2010,60000,4,1,1,0,140000
12,105,569,2019,11000,4,1,1,0,925000
19,241,716,2017,30000,1,1,1,0,969999
10,409,573,2007,80000,0,1,1,4,90000
10,399,628,2001,60000,4,1,1,4,55000
10,517,576,2007,100000,1,1,1,1,155000
11,495,545,2019,15000,1,1,1,0,900000
12,18,448,2011,90000,4,1,1,0,135000
12,5,546,2012,120000,4,1,1,0,180000
10,517,311,2013,100000,1,1,1,2,495000
20,269,423,2009,138000,1,1,1,4,400000
10,517,576,2008,110000,1,1,1,2,250000
12,18,643,2015,120000,4,1,1,1,138000
9,106,267,2011,70000,4,1,0,2,311000
12,16,529,2015,70000,4,1,1,0,190000
11,66,679,2011,140000,1,1,1,0,311000
12,371,643,2009,15000,4,1,1,0,300000
9,271,706,2018,20000,4,1,1,0,600000
11,429,568,2009,100000,1,1,1,0,550000
18,364,306,2015,70000,4,1,0,0,600000
12,16,529,2018,5000,4,1,1,0,195000
19,316,642,2013,27974,4,1,1,0,58000
12,16,529,2018,40000,4,1,1,0,183000
12,588,38,2007,80000,4,1,1,0,95000
12,545,657,2013,38000,4,1,1,0,250000
19,599,117,2014,35000,4,1,1,0,400000
10,517,314,2012,60000,1,1,1,2,409999
18,330,350,2004,120000,1,1,1,2,120000
12,457,708,2018,18000,4,1,0,0,600000
9,32,731,2016,10000,4,1,1,0,600000
11,569,460,2015,90000,1,1,1,4,825000
20,184,614,2016,80000,1,1,1,2,625000
10,233,576,2020,1400,1,1,1,0,700000
3,62,638,2011,60000,4,1,1,0,160000
12,16,642,2011,60000,4,1,1,4,114999
12,547,657,2009,53000,4,1,1,0,150000
21,277,346,2010,100000,1,0,1,0,250000
10,517,311,2012,86000,1,0,1,2,390000
17,130,532,2015,100000,1,1,1,0,650000
10,572,36,2016,30000,1,1,1,0,600000
10,605,103,2011,120000,4,1,1,0,250000
10,410,637,2011,60000,3,1,1,2,229999
12,371,635,2016,50000,1,1,1,2,299000
3,128,641,2010,124000,1,1,1,2,330000
10,10,610,2012,100000,4,1,1,4,180000
10,224,63,2017,42000,4,1,1,0,475000
10,228,688,2015,100000,1,1,1,0,325000
9,113,700,2016,28205,4,0,1,0,639000
12,87,554,2017,32670,4,0,0,0,415000
12,177,573,2013,56228,0,0,1,0,525000
10,517,316,2013,59319,4,0,1,0,425000
12,530,703,2016,39503,1,0,1,0,699000
10,224,72,2013,35299,4,0,1,0,325000
20,184,700,2011,51687,4,0,1,0,275000
21,511,554,2011,76259,4,0,0,0,269000
21,351,120,2013,44049,1,0,1,0,399000
11,278,363,2017,45087,1,0,1,0,475000
20,184,700,2011,41125,4,0,1,0,249000
21,355,120,2011,54206,4,0,1,0,254999
18,364,307,2012,52547,4,0,1,0,269000
12,170,722,2014,59110,1,0,1,0,665000
12,552,643,2014,54565,4,0,1,0,299000
10,605,562,2010,47564,4,0,1,2,265000
21,355,120,2010,45143,4,0,1,2,211000
18,451,338,2013,61624,4,0,0,2,599000
10,517,314,2014,50000,1,1,1,0,550000
19,441,516,2010,120000,1,1,1,2,220000
12,456,708,2019,20000,4,1,1,0,500000
12,16,644,2010,30000,4,1,1,0,140000
12,456,702,2013,60000,1,1,1,0,325000
10,605,655,2010,90000,4,1,1,4,210000
12,16,644,2008,90000,4,1,1,2,110000
12,16,529,2017,40000,4,1,1,0,229999
12,16,523,2006,132000,4,1,1,0,165000
19,499,552,2018,10980,4,0,0,0,525000
10,139,665,2018,20629,4,0,1,0,325000
10,225,562,2015,30000,4,1,0,0,400000
12,94,709,2015,69782,4,0,1,0,550000
12,5,689,2003,54000,4,1,1,0,98000
11,571,487,2013,63654,1,0,1,0,900000
17,294,537,2017,60000,1,1,1,0,700000
11,427,508,2015,52000,1,0,1,0,890000
12,469,569,2015,59385,1,0,1,0,490000
10,605,452,2015,70378,4,0,1,0,525000
12,548,632,2013,55425,4,0,1,0,330000
